UniProtID	Accessions	kinase	networkin_id	psp_id	netphorest_group	ECs	gene_names	Descriptions
E2AK2_HUMAN	P19525	EIF2AK2	EIF2AK2	PKR	EIF2AK2	2.7.10.2;2.7.11.1	EIF2AK2;PKR;PRKR	"EC 2.7.11.1;EC 2.7.10.2;PKR;Interferon-induced, double-stranded RNA-activated protein kinase;Eukaryotic translation initiation factor 2-alpha kinase 2;eIF-2A protein kinase 2;Interferon-inducible RNA-dependent protein kinase;P1/eIF-2A protein kinase;Protein kinase RNA-activated;Protein kinase R;Tyrosine-protein kinase EIF2AK2;p68 kinase"
E2AK3_HUMAN	Q9NZJ5	EIF2AK3	EIF2AK3	PERK		2.7.11.1	EIF2AK3;PEK;PERK	EC 2.7.11.1;Eukaryotic translation initiation factor 2-alpha kinase 3;PRKR-like endoplasmic reticulum kinase;Pancreatic eIF2-alpha kinase;HsPEK
E2AK4_HUMAN	Q9P2K8	GCN2 (PSP)		GCN2		2.7.11.1	EIF2AK4;GCN2;KIAA1338	2.7.11.1;eIF-2-alpha kinase GCN2;Eukaryotic translation initiation factor 2-alpha kinase 4;GCN2-like protein;Isoform 2 of eIF-2-alpha kinase GCN2
EF2K_HUMAN	O00418	EEF2K (PSP)		EEF2K		2.7.11.20	EEF2K	Eukaryotic elongation factor 2 kinase;eEF-2 kinase;eEF-2K;2.7.11.20;Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase
EGFR_HUMAN	P00533	EGFR	EGFR	EGFR	EGFR_group	2.7.10.1	EGFR;ERBB;ERBB1;HER1	EC 2.7.10.1;Epidermal growth factor receptor;Proto-oncogene c-ErbB-1;Receptor tyrosine-protein kinase erbB-1;Isoform 3 of Epidermal growth factor receptor
ENPP3_HUMAN	O14638	ENPP3 (PSP)		ENPP3		3.1.4.1;3.6.1.9	ENPP3;PDNP3	3.6.1.9;3.1.4.1;Alkaline phosphodiesterase I;Nucleotide pyrophosphatase;NPPase;Nucleotide diphosphatase;Ectonucleotide pyrophosphatase/phosphodiesterase family member 3;E-NPP 3;NPP3;Phosphodiesterase I beta;PD-Ibeta;Phosphodiesterase I/nucleotide pyrophosphatase 3;CD203c
EPHA1_HUMAN	P21709	EphA1 (NetworKIN)	EphA1	EphA1	Eph_group	2.7.10.1	EPHA1;EPH;EPHT;EPHT1	EC 2.7.10.1;Ephrin type-A receptor 1;hEpha1;EPH tyrosine kinase;EPH tyrosine kinase 1;Erythropoietin-producing hepatoma receptor;Tyrosine-protein kinase receptor EPH;Isoform 3 of Ephrin type-A receptor 1
EPHA2_HUMAN	P29317	EphA2	EphA2	EphA2	Eph_group	2.7.10.1	EPHA2;ECK	EC 2.7.10.1;Ephrin type-A receptor 2;Epithelial cell kinase;Tyrosine-protein kinase receptor ECK
EPHA3_HUMAN	P29320	EphA3	EphA3		Eph_group	2.7.10.1	EPHA3;ETK;ETK1;HEK;TYRO4	EC 2.7.10.1;HEK;Ephrin type-A receptor 3;EPH-like kinase 4;EK4;hEK4;Human embryo kinase;Tyrosine-protein kinase TYRO4;Tyrosine-protein kinase receptor ETK1;Eph-like tyrosine kinase 1
EPHA4_HUMAN	P54764	EphA4	EphA4	EphA4	Eph_group	2.7.10.1	EPHA4;HEK8;SEK;TYRO1	Ephrin type-A receptor 4;EC 2.7.10.1;EPH-like kinase 8;EK8;hEK8;Tyrosine-protein kinase TYRO1;Tyrosine-protein kinase receptor SEK;Isoform 2 of Ephrin type-A receptor 4
EPHA5_HUMAN	P54756	EphA5 (NetworKIN)	EphA5		Eph_group	2.7.10.1	TYRO4;EPHA5;BSK;EHK1;HEK7	EC 2.7.10.1;Ephrin type-A receptor 5;Brain-specific kinase;EPH homology kinase 1;EHK-1;EPH-like kinase 7;EK7;hEK7;Isoform 3 of Ephrin type-A receptor 5
EPHA6_HUMAN	Q9UF33	EphA6 (NetworKIN)	EphA6		Eph_group	2.7.10.1	EPHA6;EHK2;HEK12	EC 2.7.10.1;Ephrin type-A receptor 6;EPH homology kinase 2;EHK-2;EPH-like kinase 12;EK12;Isoform 3 of Ephrin type-A receptor 6
EPHA7_HUMAN	Q15375	EphA7 (NetworKIN)	EphA7		Eph_group	2.7.10.1	EPHA7;EHK3;HEK11	EC 2.7.10.1;Ephrin type-A receptor 7;EPH homology kinase 3;EHK-3;EPH-like kinase 11;EK11;hEK11;Isoform 5 of Ephrin type-A receptor 7
EPHA8_HUMAN	P29322	EphA8	EphA8		Eph_group	2.7.10.1	EPHA8;EEK;HEK3;KIAA1459	EC 2.7.10.1;Ephrin type-A receptor 8;EPH- and ELK-related kinase;EPH-like kinase 3;EK3;hEK3;Tyrosine-protein kinase receptor EEK
EPHB1_HUMAN	P54762	EphB1	EphB1	EphB1	Eph_group	2.7.10.1	NET;EPHB1;ELK;EPHT2;HEK6	EC 2.7.10.1;NET;ELK;Ephrin type-B receptor 1;EPH tyrosine kinase 2;EPH-like kinase 6;EK6;hEK6;Neuronally-expressed EPH-related tyrosine kinase;Tyrosine-protein kinase receptor EPH-2
EPHB2_HUMAN	P29323	EphB2	EphB2	EphB2	Eph_group	2.7.10.1	EPHB2;DRT;EPHT3;EPTH3;ERK;HEK5;TYRO5	EC 2.7.10.1;Ephrin type-B receptor 2;Developmentally-regulated Eph-related tyrosine kinase;ELK-related tyrosine kinase;EPH tyrosine kinase 3;EPH-like kinase 5;EK5;hEK5;Renal carcinoma antigen NY-REN-47;Tyrosine-protein kinase TYRO5;Tyrosine-protein kinase receptor EPH-3;EphB2/CTF1;EphB2/CTF2;Isoform 3 of Ephrin type-B receptor 2
EPHB3_HUMAN	P54753	EphB3	EphB3	EphB3	Eph_group	2.7.10.1	EPHB3;ETK2;HEK2;TYRO6	EC 2.7.10.1;Ephrin type-B receptor 3;EPH-like tyrosine kinase 2;EPH-like kinase 2;Embryonic kinase 2;EK2;hEK2;Tyrosine-protein kinase TYRO6
EPHB4_HUMAN	P54760	EphB4 (NetworKIN)	EphB4		Eph_group	2.7.10.1	EPHB4;HTK;MYK1;TYRO11	EC 2.7.10.1;Ephrin type-B receptor 4;Hepatoma transmembrane kinase;Tyrosine-protein kinase TYRO11;Isoform 4 of Ephrin type-B receptor 4
EPHB6		EphB6 (NetworKIN)	EphB6		Eph_group		EPHB6	HEP;Tyrosine-protein kinase-defective receptor EPH-6;Isoform 2 of Ephrin type-B receptor 6
EPHB6_HUMAN		EphB6 (NetworKIN)	EphB6		Eph_group		EPHB6	HEP;Ephrin type-B receptor 6;Tyrosine-protein kinase-defective receptor EPH-6;Isoform 3 of Ephrin type-B receptor 6
ERBB2_HUMAN	P04626	ErbB2	ErbB2	HER2	EGFR_group	2.7.10.1	ERBB2;HER2;MLN19;NEU;NGL	EC 2.7.10.1;Receptor tyrosine-protein kinase erbB-2;Metastatic lymph node gene 19 protein;MLN 19;Proto-oncogene Neu;Proto-oncogene c-ErbB-2;Tyrosine kinase-type cell surface receptor HER2;p185erbB2;CD340
ERBB3_HUMAN	P21860	ErbB3 (NetworKIN)	ErbB3		EGFR_group	2.7.10.1	ERBB3;HER3	EC 2.7.10.1;Receptor tyrosine-protein kinase erbB-3;Proto-oncogene-like protein c-ErbB-3;Tyrosine kinase-type cell surface receptor HER3;Isoform 4 of Receptor tyrosine-protein kinase erbB-3
ERBB4_HUMAN	Q15303	ErbB4 (NetworKIN)	ErbB4	HER4	EGFR_group	2.7.10.1	ERBB4;HER4	EC 2.7.10.1;Receptor tyrosine-protein kinase erbB-4;Proto-oncogene-like protein c-ErbB-4;Tyrosine kinase-type cell surface receptor HER4;p180erbB4;ERBB4 intracellular domain;4ICD;E4ICD;s80HER4;Isoform JM-B CYT-2 of Receptor tyrosine-protein kinase erbB-4
ERN1_HUMAN	O75460	IRE1 (PSP)		IRE1		2.7.11.1	ERN1;IRE1	2.7.11.1;Serine/threonine-protein kinase/endoribonuclease IRE1;Endoplasmic reticulum-to-nucleus signaling 1;Inositol-requiring protein 1;hIRE1p;Ire1-alpha;IRE1a;Serine/threonine-protein kinase;Endoribonuclease;3.1.26.-
FA20C_HUMAN	Q8IXL6	FAM20C (PSP)		FAM20C		2.7.11.1	FAM20C;DMP4	2.7.11.1;Extracellular serine/threonine protein kinase FAM20C;Dentin matrix protein 4;DMP-4;Golgi casein kinase;Golgi-enriched fraction casein kinase;GEF-CK
FAK1_HUMAN	Q05397	FAK	FAK	FAK		2.7.10.2	PTK2;FAK;FAK1	EC 2.7.10.2;Focal adhesion kinase 1;FADK 1;Focal adhesion kinase-related nonkinase;FRNK;Protein phosphatase 1 regulatory subunit 71;PPP1R71;Protein-tyrosine kinase 2;p125FAK;pp125FAK
FAK2_HUMAN	Q14289	PYK2	PYK2	Pyk2		2.7.10.2	PTK2B;FAK2;PYK2;RAFTK	EC 2.7.10.2;RAFTK;Protein-tyrosine kinase 2-beta;Calcium-dependent tyrosine kinase;CADTK;Calcium-regulated non-receptor proline-rich tyrosine kinase;Cell adhesion kinase beta;CAK-beta;CAKB;Focal adhesion kinase 2;FADK 2;Proline-rich tyrosine kinase 2;Related adhesion focal tyrosine kinase
FER_HUMAN	P16591	Fer	Fer	Fer		2.7.10.2	FER;TYK3	Tyrosine-protein kinase Fer;EC 2.7.10.2;Feline encephalitis virus-related kinase FER;Fujinami poultry sarcoma/Feline sarcoma-related protein Fer;Proto-oncogene c-Fer;Tyrosine kinase 3;p94-Fer;Isoform 2 of Tyrosine-protein kinase Fer
FES_HUMAN	P07332	Fes	Fes	Fes		2.7.10.2	FPS;FES	EC 2.7.10.2;Tyrosine-protein kinase Fes/Fps;Feline sarcoma/Fujinami avian sarcoma oncogene homolog;Proto-oncogene c-Fes;Proto-oncogene c-Fps;p93c-fes;Isoform 3 of Tyrosine-protein kinase Fes/Fps
FGFR1_HUMAN	P11362	FGFR1	FGFR1	FGFR1		2.7.10.1	FGFR1;BFGFR;CEK;FGFBR;FLG;FLT2;HBGFR	2.7.10.1;BFGFR;Fibroblast growth factor receptor 1;FGFR-1;Basic fibroblast growth factor receptor 1;bFGF-R-1;Fms-like tyrosine kinase 2;FLT-2;N-sam;Proto-oncogene c-Fgr;CD331;Isoform 5 of Fibroblast growth factor receptor 1
FGFR2_HUMAN	P21802	FGFR2 (PSP)		FGFR2		2.7.10.1	FGFR2;BEK;KGFR;KSAM	2.7.10.1;KGFR;Fibroblast growth factor receptor 2;FGFR-2;K-sam;Keratinocyte growth factor receptor;CD332;Isoform 9 of Fibroblast growth factor receptor 2
FGFR3_HUMAN	P22607	FGFR3	FGFR3	FGFR3		2.7.10.1	FGFR3;JTK4	EC 2.7.10.1;Fibroblast growth factor receptor 3;FGFR-3;CD333
FGFR4_HUMAN	P22455	FGFR4	FGFR4	FGFR4		2.7.10.1	FGFR4;JTK2;TKF	EC 2.7.10.1;Fibroblast growth factor receptor 4;FGFR-4;CD334;Isoform 3 of Fibroblast growth factor receptor 4
FGR_HUMAN	P09769	Fgr	Fgr	FGR	Src_group	2.7.10.2	SRC2;FGR	EC 2.7.10.2;Proto-oncogene c-Fgr;Tyrosine-protein kinase Fgr;Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog;p55-Fgr;p58-Fgr;p58c-Fgr
FLT3_HUMAN	P36888	FLT3	FLT3	FLT3	FLT3_CSF1R_Kit_PDGFR_group	2.7.10.1	FLT3;CD135;FLK2;STK1	EC 2.7.10.1;CD135;Receptor-type tyrosine-protein kinase FLT3;FL cytokine receptor;Fetal liver kinase-2;FLK-2;Fms-like tyrosine kinase 3;FLT-3;Stem cell tyrosine kinase 1;STK-1;Isoform 2 of Receptor-type tyrosine-protein kinase FLT3
FRK_HUMAN	P42685	FRK (NetworKIN)	FRK	FRK	FRK	2.7.10.2	FRK;PTK5;RAK	EC 2.7.10.2;Tyrosine-protein kinase FRK;FYN-related kinase;Nuclear tyrosine protein kinase RAK;Protein-tyrosine kinase 5
FRK_HUMAN	P42685	FRK (NetworKIN)	FRK	FRK	Src_group	2.7.10.2	FRK;PTK5;RAK	EC 2.7.10.2;Tyrosine-protein kinase FRK;FYN-related kinase;Nuclear tyrosine protein kinase RAK;Protein-tyrosine kinase 5
FYN_HUMAN	P06241	Fyn	Fyn	Fyn	Src_group	2.7.10.2	FYN	EC 2.7.10.2;SLK;Tyrosine-protein kinase Fyn;Proto-oncogene Syn;Proto-oncogene c-Fyn;Src-like kinase;p59-Fyn
FYN_HUMAN	P06241	SLK (NetworKIN)	SLK	Fyn	SLK_group	2.7.10.2	FYN	EC 2.7.10.2;SLK;Tyrosine-protein kinase Fyn;Proto-oncogene Syn;Proto-oncogene c-Fyn;Src-like kinase;p59-Fyn
FYV1_HUMAN	Q9Y2I7	PIKFYVE (PSP)		PIKFYVE		2.7.1.150;2.7.11.1	PIKFYVE;KIAA0981;PIP5K3	2.7.11.1;1-phosphatidylinositol 3-phosphate 5-kinase;Phosphatidylinositol 3-phosphate 5-kinase;2.7.1.150;FYVE finger-containing phosphoinositide kinase;PIKfyve;Phosphatidylinositol 3-phosphate 5-kinase type III;PIPkin-III;Type III PIP kinase;Serine-protein kinase PIKFYVE
G6PI_HUMAN	P06744	NLK	NLK		MAPK3_MAPK1_MAPK7_NLK_group	5.3.1.9	GPI	Glucose-6-phosphate isomerase;GPI;5.3.1.9;Autocrine motility factor;AMF;Neuroleukin;NLK;Phosphoglucose isomerase;PGI;Phosphohexose isomerase;PHI;Sperm antigen 36;SA-36
GAK_HUMAN	O14976	GAK (PSP)		GAK		2.7.11.1	GAK	EC 2.7.11.1;Cyclin-G-associated kinase
GRK1_HUMAN	Q15835	GRK-1	GRK1	GRK1	GRK_group	2.7.11.14	GRK1;RHOK	2.7.11.14;RK;Rhodopsin kinase GRK1;G protein-coupled receptor kinase 1
GRK4_HUMAN	P32298	GRK-4	GRK4	GRK4	GRK_group	2.7.11.16	GRK4;GPRK2L;GPRK4	EC 2.7.11.16;G protein-coupled receptor kinase 4;G protein-coupled receptor kinase GRK4;ITI1
GRK5_HUMAN	P34947	GRK-5	GRK5	GRK5	GRK_group	2.7.11.16	GRK5;GPRK5	EC 2.7.11.16;G protein-coupled receptor kinase 5;G protein-coupled receptor kinase GRK5
GRK6_HUMAN	P43250	GRK-6	GRK6	GRK6	GRK_group	2.7.11.16	GRK6;GPRK6	G protein-coupled receptor kinase 6;EC 2.7.11.16;G protein-coupled receptor kinase GRK6;Isoform GRK6C of G protein-coupled receptor kinase 6
GRK7_HUMAN	Q8WTQ7	GRK_group	GRK7	GRK7	GRK_group	2.7.11.14	GRK7;GPRK7	Rhodopsin kinase GRK7;2.7.11.14;G protein-coupled receptor kinase 7;G protein-coupled receptor kinase GRK7
GSK3A_HUMAN	P49840	GSK-3_alpha	GSK3alpha	GSK3A	GSK3_group	2.7.11.1;2.7.11.26	GSK3A	2.7.11.1;EC 2.7.11.26;Glycogen synthase kinase-3 alpha;GSK-3 alpha;Serine/threonine-protein kinase GSK3A
GSK3B	P49841-2	GSK3B iso2 (PSP)		GSK3B iso2			GSK3B	2.7.11.1;GSK-3 beta;2.7.11.26;Serine/threonine-protein kinase GSK3B;Isoform 2 of Glycogen synthase kinase-3 beta
GSK3B_HUMAN	P49841	GSK-3_beta	GSK3beta	GSK3B	GSK3_group	2.7.11.1;2.7.11.26	GSK3B	2.7.11.1;Glycogen synthase kinase-3 beta;GSK-3 beta;2.7.11.26;Serine/threonine-protein kinase GSK3B
GWL_HUMAN	Q96GX5	MASTL (PSP)		MASTL		2.7.11.1	MASTL;GW;GWL;THC2	EC 2.7.11.1;GW;GWL;Serine/threonine-protein kinase greatwall;hGWL;Microtubule-associated serine/threonine-protein kinase-like;MAST-L;Isoform 3 of Serine/threonine-protein kinase greatwall
HASP_HUMAN	Q8TF76	Haspin (NetworKIN)	Haspin	Haspin	Haspin	2.7.11.1	HASPIN;GSG2	2.7.11.1;Serine/threonine-protein kinase haspin;Germ cell-specific gene 2 protein;H-haspin;Haploid germ cell-specific nuclear protein kinase
HCK_HUMAN	P08631	HCK	HCK	Hck	Src_group	2.7.10.2	HCK	EC 2.7.10.2;Tyrosine-protein kinase HCK;Hematopoietic cell kinase;Hemopoietic cell kinase;p59-HCK/p60-HCK;p59Hck;p61Hck;Isoform 3 of Tyrosine-protein kinase HCK
HIPK1_HUMAN	Q86Z02	HIPK1	HIPK1	HIPK1	HIPK1_HIPK2_group	2.7.11.1	HIPK1;KIAA0630;MYAK;NBAK2	EC 2.7.11.1;Homeodomain-interacting protein kinase 1;Nuclear body-associated kinase 2;Isoform 3 of Homeodomain-interacting protein kinase 1
HIPK2_HUMAN	Q9H2X6	HIPK2	HIPK2	HIPK2	HIPK1_HIPK2_group	2.7.11.1	HIPK2	EC 2.7.11.1;Homeodomain-interacting protein kinase 2;hHIPk2;Isoform 3 of Homeodomain-interacting protein kinase 2
HIPK3_HUMAN	Q9H422	HIPK3	HIPK3	HIPK3		2.7.11.1	HIPK3;DYRK6;FIST3;PKY	EC 2.7.11.1;Homeodomain-interacting protein kinase 3;Androgen receptor-interacting nuclear protein kinase;ANPK;Fas-interacting serine/threonine-protein kinase;FIST;Homolog of protein kinase YAK1
HUNK_HUMAN	P57058	HUNK (PSP)		HUNK		2.7.11.1	HUNK;MAKV	EC 2.7.11.1;Hormonally up-regulated neu tumor-associated kinase;B19;Serine/threonine-protein kinase MAK-V
IGF1R_HUMAN	P08069	IGF1R	IGF1R	IGF1R	InsR_group	2.7.10.1	IGF1R	EC 2.7.10.1;Insulin-like growth factor 1 receptor;Insulin-like growth factor I receptor;IGF-I receptor;CD221;Insulin-like growth factor 1 receptor alpha chain;Insulin-like growth factor 1 receptor beta chain
IKKA_HUMAN	O15111	IKK_alpha	IKKalpha	IKKA	IKKalpha_IKKbeta_group	2.7.11.10	CHUK;IKKA;TCF16	Inhibitor of nuclear factor kappa-B kinase subunit alpha;I-kappa-B kinase alpha;IKK-A;IKK-alpha;IkBKA;IkappaB kinase;2.7.11.10;Conserved helix-loop-helix ubiquitous kinase;I-kappa-B kinase 1;IKK1;Nuclear factor NF-kappa-B inhibitor kinase alpha;NFKBIKA;Transcription factor 16;TCF-16
IKKB_HUMAN	O14920	IKK_beta	IKKbeta	IKKB	IKKalpha_IKKbeta_group	2.7.11.1;2.7.11.10	IKBKB;IKKB	2.7.11.1;Inhibitor of nuclear factor kappa-B kinase subunit beta;I-kappa-B-kinase beta;IKK-B;IKK-beta;IkBKB;EC 2.7.11.10;I-kappa-B kinase 2;IKK2;Nuclear factor NF-kappa-B inhibitor kinase beta;NFKBIKB;Serine/threonine protein kinase IKBKB;Isoform 3 of Inhibitor of nuclear factor kappa-B kinase subunit beta
IKKE_HUMAN	Q14164	IKK_epsilon	IKK_epsilon	IKKE		2.7.11.10	IKBKE;IKKE;IKKI;KIAA0151	EC 2.7.11.10;Inhibitor of nuclear factor kappa-B kinase subunit epsilon;I-kappa-B kinase epsilon;IKK-E;IKK-epsilon;IkBKE;Inducible I kappa-B kinase;IKK-i;Isoform 2 of Inhibitor of nuclear factor kappa-B kinase subunit epsilon
ILK_HUMAN	Q13418	ILK	ILK	ILK		2.7.11.1	ILK;ILK1;ILK2	2.7.11.1;Integrin-linked protein kinase;59 kDa serine/threonine-protein kinase;Beta-integrin-linked kinase;ILK-1;ILK-2;p59ILK
INSRR_HUMAN	P14616	IRR (NetworKIN)	IRR		InsR_group	2.7.10.1	INSRR;IRR	EC 2.7.10.1;IRR;Insulin receptor-related protein;IR-related receptor;Insulin receptor-related protein alpha chain;Insulin receptor-related protein beta chain
INSR_HUMAN	P06213	INSR	INSR	INSR		2.7.10.1	INSR	EC 2.7.10.1;Insulin receptor;IR;CD220;Insulin receptor subunit alpha;Insulin receptor subunit beta;Isoform Short of Insulin receptor
INSR_HUMAN	P06213	InsR (NetworKIN)	InsR	INSR	InsR_group	2.7.10.1	INSR	EC 2.7.10.1;Insulin receptor;IR;CD220;Insulin receptor subunit alpha;Insulin receptor subunit beta;Isoform Short of Insulin receptor
IRAK1_HUMAN	P51617	IRAK1	IRAK1	IRAK1		2.7.11.1	IRAK1;IRAK	EC 2.7.11.1;Interleukin-1 receptor-associated kinase 1;IRAK-1;Isoform 3 of Interleukin-1 receptor-associated kinase 1
IRAK4_HUMAN	Q9NWZ3	IRAK4	IRAK4	IRAK4		2.7.11.1	IRAK4	EC 2.7.11.1;Interleukin-1 receptor-associated kinase 4;IRAK-4;Renal carcinoma antigen NY-REN-64;Isoform 2 of Interleukin-1 receptor-associated kinase 4
ITK_HUMAN	Q08881	ITK	ITK	ITK	Tec_group	2.7.10.2	EMT;ITK;LYK	EC 2.7.10.2;Tyrosine-protein kinase ITK/TSK;Interleukin-2-inducible T-cell kinase;IL-2-inducible T-cell kinase;Kinase EMT;T-cell-specific kinase;Tyrosine-protein kinase Lyk
JAK1_HUMAN	P23458	JAK1	JAK1	JAK1		2.7.10.2	JAK1;JAK1A;JAK1B	2.7.10.2;Tyrosine-protein kinase JAK1;Janus kinase 1;JAK-1
JAK2_HUMAN	O60674	JAK2	JAK2	JAK2		2.7.10.2	JAK2	2.7.10.2;Tyrosine-protein kinase JAK2;Janus kinase 2;JAK-2
JAK3_HUMAN	P52333	JAK3	JAK3	JAK3		2.7.10.2	JAK3	EC 2.7.10.2;Tyrosine-protein kinase JAK3;Janus kinase 3;JAK-3;Leukocyte janus kinase;L-JAK;Isoform 3 of Tyrosine-protein kinase JAK3
JMJD6_HUMAN	Q6NYC1	JMJD6 (PSP)		JMJD6			JMJD6;KIAA0585;PSR;PTDSR	1.14.11.-;Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6;Histone arginine demethylase JMJD6;JmjC domain-containing protein 6;Jumonji domain-containing protein 6;Lysyl-hydroxylase JMJD6;Peptide-lysine 5-dioxygenase JMJD6;Phosphatidylserine receptor;Protein PTDSR
KAPCA_HUMAN	P17612	PKA_alpha	PKAalpha	PKACA iso2	PKA_group	2.7.11.11	PRKACA;PKACA	EC 2.7.11.11;cAMP-dependent protein kinase catalytic subunit alpha;PKA C-alpha;Isoform 2 of cAMP-dependent protein kinase catalytic subunit alpha
KAPCB_HUMAN	P22694	PKA_group	PKAbeta	PKACB	PKA_group	2.7.11.11	PRKACB	EC 2.7.11.11;cAMP-dependent protein kinase catalytic subunit beta;PKA C-beta
KAPCG_HUMAN	P22612	PKA_group	PKAgamma		PKA_group	2.7.11.11	PRKACG	cAMP-dependent protein kinase catalytic subunit gamma;PKA C-gamma;EC 2.7.11.11
KC1AL_HUMAN	Q8N752	CK1alpha2 (NetworKIN)	CK1alpha2	CK1A2	CK1_group	2.7.11.1	CSNK1A1L	EC 2.7.11.1;CK1;Casein kinase I isoform alpha-like;CKI-alpha-like
KC1A_HUMAN	P48729	CK1_alpha	CK1alpha	CK1A	CK1_group	2.7.11.1	CSNK1A1	EC 2.7.11.1;Casein kinase I isoform alpha;CKI-alpha;CK1;Isoform 2 of Casein kinase I isoform alpha
KC1D_HUMAN	P48730	CK1_delta	CK1delta	CK1D	CK1_group	2.7.11.1;2.7.11.26	CSNK1D;HCKID	2.7.11.1;2.7.11.26;Casein kinase I isoform delta;CKI-delta;CKId;Tau-protein kinase CSNK1D;Isoform 2 of Casein kinase I isoform delta
KC1E_HUMAN	P49674	CK1_epsilon	CK1epsilon	CK1E	CK1_group	2.7.11.1	CSNK1E	2.7.11.1;Casein kinase I isoform epsilon;CKI-epsilon;CKIe
KC1G1_HUMAN	Q9HCP0	CK1_group	CK1gamma1	CK1G1	CK1_group	2.7.11.1	CSNK1G1	EC 2.7.11.1;Casein kinase I isoform gamma-1;CKI-gamma 1;Isoform 1S of Casein kinase I isoform gamma-1
KC1G2_HUMAN	P78368	CK1_group	CK1gamma2	CK1G2	CK1_group	2.7.11.1	CSNK1G2;CK1G2	EC 2.7.11.1;Casein kinase I isoform gamma-2;CKI-gamma 2
KC1G3_HUMAN	Q9Y6M4	CK1_group	CK1gamma3	CK1G3	CK1_group	2.7.11.1	CSNK1G3	EC 2.7.11.1;Casein kinase I isoform gamma-3;CKI-gamma 3;Isoform 2 of Casein kinase I isoform gamma-3
KCC1A_HUMAN	Q14012	CaM-KI_alpha	CaMKIalpha	CAMK1A	CaMKI_group	2.7.11.17	CAMK1	EC 2.7.11.17;Calcium/calmodulin-dependent protein kinase type 1;CaM kinase I;CaM-KI;CaM kinase I alpha;CaMKI-alpha
KCC1B_HUMAN	Q6P2M8	CAMK1B (PSP)		CAMK1B		2.7.11.17	PNCK	EC 2.7.11.17;Calcium/calmodulin-dependent protein kinase type 1B;CaM kinase I beta;CaM kinase IB;CaM-KI beta;CaMKI-beta;Pregnancy up-regulated non-ubiquitously-expressed CaM kinase;Isoform 3 of Calcium/calmodulin-dependent protein kinase type 1B
KCC1D_HUMAN	Q8IU85	CaM-KI_group	CaMKIdelta		CaMKI_group	2.7.11.17	CAMK1D;CAMKID	EC 2.7.11.17;Calcium/calmodulin-dependent protein kinase type 1D;CaM kinase I delta;CaM kinase ID;CaM-KI delta;CaMKI delta;CaMKID;CaMKI-like protein kinase;CKLiK
KCC1G_HUMAN	Q96NX5	CaM-KI_group	CaMKIgamma	CAMK1G	CaMKI_group	2.7.11.17	CAMK1G;CLICK3;VWS1	EC 2.7.11.17;Calcium/calmodulin-dependent protein kinase type 1G;CaM kinase I gamma;CaM kinase IG;CaM-KI gamma;CaMKI gamma;CaMKIG;CaMK-like CREB kinase III;CLICK III;Isoform 2 of Calcium/calmodulin-dependent protein kinase type 1G
KCC2A_HUMAN	Q9UQM7	CaM-KII_alpha	CaMKIIalpha	CAMK2A	CaMKII_group	2.7.11.17	CAMK2A;CAMKA;KIAA0968	Calcium/calmodulin-dependent protein kinase type II subunit alpha;CaM kinase II subunit alpha;CaMK-II subunit alpha;2.7.11.17
KCC2B_HUMAN	Q13554	CaMKIIbeta (NetworKIN)	CaMKIIbeta	CAMK2B	CaMKII_group	2.7.11.17	CAM2;CAMK2B;CAMK2;CAMKB	EC 2.7.11.17;Calcium/calmodulin-dependent protein kinase type II subunit beta;CaM kinase II subunit beta;CaMK-II subunit beta
KCC2D	Q13557-8	CAMK2D iso8 (PSP)		CAMK2D iso8			CAMK2D;CAMKD	EC 2.7.11.17;CaM kinase II subunit delta;CaMK-II subunit delta;Isoform Delta 3 of Calcium/calmodulin-dependent protein kinase type II subunit delta;Isoform Delta 4 of Calcium/calmodulin-dependent protein kinase type II subunit delta;Isoform Delta 8 of Calcium/calmodulin-dependent protein kinase type II subunit delta;Isoform Delta 9 of Calcium/calmodulin-dependent protein kinase type II subunit delta;Isoform Delta 6 of Calcium/calmodulin-dependent protein kinase type II subunit delta;Isoform Delta 7 of Calcium/calmodulin-dependent protein kinase type II subunit delta;Isoform Delta 11 of Calcium/calmodulin-dependent protein kinase type II subunit delta;Isoform Delta 12 of Calcium/calmodulin-dependent protein kinase type II subunit delta
KCC2D_HUMAN	Q13557	CaM-KII_delta	CaMKIIdelta	CAMK2D	CaMKII_group	2.7.11.17	CAMK2D;CAMKD	EC 2.7.11.17;Calcium/calmodulin-dependent protein kinase type II subunit delta;CaM kinase II subunit delta;CaMK-II subunit delta;Isoform Delta 10 of Calcium/calmodulin-dependent protein kinase type II subunit delta
KCC2G_HUMAN	Q13555	CaM-KII_group	CaMKIIgamma	CAMK2G	CaMKII_group	2.7.11.17	CAMK2G;CAMK;CAMK-II;CAMKG	EC 2.7.11.17;Calcium/calmodulin-dependent protein kinase type II subunit gamma;CaM kinase II subunit gamma;CaMK-II subunit gamma
KCC4_HUMAN	Q16566	CaM-KIV	CaMKIV	CAMK4	CaMKIV	2.7.11.17	CAMK;CAMK4;CAMK-GR;CAMKIV	EC 2.7.11.17;Calcium/calmodulin-dependent protein kinase type IV;CaMK IV;CaM kinase-GR
